Date,Distance_km,Time_min,Calories,Weight_kg,Speed_kmph
2026-01-01,2.10,13.55,133.87,70.19,9.30
2026-01-02,2.02,13.07,112.30,69.69,9.29
2026-01-03,2.23,14.16,147.90,69.58,9.46
2026-01-04,2.46,15.52,133.41,69.99,9.50
2026-01-05,2.16,14.00,135.26,69.73,9.24
2026-01-06,2.21,14.40,154.35,69.96,9.19
2026-01-07,2.62,16.67,147.35,69.84,9.43
2026-01-08,2.51,16.18,144.90,69.62,9.31
2026-01-09,2.31,14.71,139.77,69.34,9.43
2026-01-10,2.57,16.01,148.93,69.09,9.62
2026-01-11,2.42,15.26,129.44,69.36,9.50
2026-01-12,2.47,15.81,148.66,69.70,9.36
2026-01-13,2.66,16.57,148.89,69.45,9.63
2026-01-14,2.28,14.51,141.44,68.97,9.42
2026-01-15,2.37,14.03,132.82,69.34,10.12
2026-01-16,2.65,16.57,174.51,69.35,9.60
2026-01-17,2.61,16.07,148.83,68.92,9.75
2026-01-18,2.93,17.84,172.41,69.18,9.84
2026-01-19,2.73,16.71,172.15,69.10,9.82
2026-01-20,2.68,15.79,148.71,68.69,10.20
2026-01-21,3.31,19.98,200.88,69.09,9.94
2026-01-22,3.02,18.36,194.43,69.10,9.88
2026-01-23,3.13,19.30,171.85,69.21,9.74
2026-01-24,2.88,17.14,174.92,69.15,10.10
2026-01-25,3.11,18.33,189.29,68.37,10.19
2026-01-26,3.29,19.43,205.42,68.45,10.17
2026-01-27,3.09,18.61,173.14,68.83,9.97
2026-01-28,3.45,20.47,193.68,68.78,10.10
2026-01-29,3.30,19.26,203.44,68.73,10.29
2026-01-30,3.42,20.20,207.94,69.68,10.15
2026-01-31,3.41,19.92,206.81,68.65,10.26
2026-02-01,3.95,23.34,240.27,68.76,10.15
2026-02-02,3.62,20.75,210.66,68.66,10.48
2026-02-03,3.47,19.90,210.31,68.52,10.45
2026-02-04,3.89,22.24,236.53,68.18,10.50
2026-02-05,3.54,19.74,204.99,68.45,10.75
2026-02-06,3.87,22.21,250.99,67.94,10.46
2026-02-07,3.49,19.93,214.10,68.05,10.51
2026-02-08,3.67,20.76,208.08,67.92,10.59
2026-02-09,4.02,22.59,247.91,68.04,10.68
2026-02-10,4.18,22.90,241.15,68.66,10.95
2026-02-11,4.12,22.88,255.01,67.36,10.80
2026-02-12,4.11,22.78,258.33,68.07,10.83
2026-02-13,4.13,22.58,239.37,67.33,10.96
2026-02-14,3.94,21.74,246.13,67.62,10.88
2026-02-15,4.14,23.00,252.78,68.04,10.81
2026-02-16,4.25,24.10,263.03,67.68,10.57
2026-02-17,4.60,25.22,295.04,67.29,10.95
2026-02-18,4.51,24.66,268.11,67.34,10.97
2026-02-19,4.14,22.40,240.80,67.71,11.08
2026-02-20,4.61,23.99,267.54,67.24,11.52
2026-02-21,4.52,24.27,262.81,67.47,11.17
2026-02-22,4.51,24.17,269.75,67.37,11.19
2026-02-23,4.82,26.87,292.45,67.11,10.76
2026-02-24,4.95,26.20,299.88,67.90,11.34
2026-02-25,4.98,26.50,307.24,67.39,11.28
2026-02-26,4.68,24.63,280.91,66.54,11.40
2026-02-27,4.84,24.80,304.72,67.16,11.70
2026-02-28,5.02,26.76,298.28,66.85,11.24
2026-03-01,5.20,27.41,338.91,67.26,11.37
